"Mouse_ID","Sex","Longitude","Latitude","Year","mtBamH","YNPAR","X332","X347","X65","Tsx","Btk","Syap1","Es1","Gpd1","Idh1","Mpi","Np","Sod1","Es1C","Gpd1C","Idh1C","MpiC","NpC","Sod1C","HI_NLoci","HI","Dissection_Date","Spleen","Aspiculuris","Syphacia","Taenia_taeniformis","Zfy2","Y","Hymenolepis_microstoma","Cysticercus","Address","Status","Left_Embryo","Right_Embryo","Worms_presence","Hymenolepis_diminiuta","Taenia_martis","Heligmosomoides_polygurus","Hymenolepis","Taenia","Aspiculuris_Syphacia","Mastophorus","counter","Date_count","N_oocysts_sq1","N_oocysts_sq2","N_oocysts_sq3","N_oocysts_sq4","N_oocysts_sq5","N_oocysts_sq6","N_oocysts_sq7","N_oocysts_sq8","mean_neubauer","PBS_dil_in_mL","OPG","Ncells","Region","Ectoparasites_Logical","Left_Epididymis","Feces_Weight","Fleas","Liver","Right_Ovarium_Weight","Left_Ovarium_Weight","Seminal_Vesicles_Weight","Left_Testis","Right_Testis","Trap_Date","Ectoparasites","Hymenolepis_diminuta","eimeriaSpecies","MC.Eimeria","delta_ct_cewe_MminusE","Ct.Eimeria","Ct.Mus","GAPDH","IL.12A","PPIB","IL.17A","CD4","Treg","Div_Treg","Treg17","Th1","Div_Th1","Th17","Div_Th17","CD8","Act_CD8","Div_Act_CD8","IFNy_CD4","IL17A_CD4","IFNy_CD8","Position","delta","EXP_type","Oocyst_Predict_Crypto","ILWE_Crypto_Ct","ILWE_DNA_Content_ng.microliter","COCE","CEWE","ILWE","CECE","COWE","SICE","Ticks","Host","FEC","SPL2","FEC_Eim_Ct","MC.Eimeria.FEC","MCs","Body_Weight","Body_Length","Tail_Length","Aspiculuris_sp","Syphacia_sp","Trichuris_muris","Taenia_sp","Heterakis_sp","Mastophorus_muris","Hymenolepis_sp","Catenotaenia_pusilla","IFNy","CXCR3","IL.6","IL.10","IL.13","IL1RN","CASP1","CXCL9","IDO1","IRGM1","MPO","MUC2","MUC5AC","MYD88","NCR1","PRF1","RETNLB","SOCS1","TICAM1","TNF"
"AA_0094","F",13.3047,52.9936,2016,"m",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0.04,"2016-09-26",33,0,8,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,8,0,"Alice","April2018",2,1,1,5,3,3,1,4,2.5,0.1,250000,8,"DyM",NA,NA,1,TRUE,NA,NA,NA,NA,NA,NA,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,2.77363255558549,21.8643587957454,15.635772891352,24.5575011872076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.76,81,83,0,8,0,0,0,0,0,0,18.0906078687187,19.6398120801052,19.9184023835548,22.0136979282696,17.6678613915741,16.1172645490184,20.1902746936803,14.941621333719,13.3627624998215,8.40742327519319,15.8080299071631,6.82008200234632,6.92271669710757,7.9369666507132,25.5842066703473,28.5146757242205,8.63860407646431,9.49738960821897,18.6896525134317,19.5826528476963
"AA_0099","M",13.0819,52.0311,2016,"d",NA,"m",NA,NA,"d","d","d","100","100","100","100","100","80","mm","dd","dd","dd","dd","mm",11,0.294117647,"2016-09-26",42,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,TRUE,NA,NA,NA,0,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",NA,26,2,TRUE,NA,NA,NA,137,0.064,0.07,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,5.78765513276837,17.7457321362388,NA,21.0752568147248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1123,32.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.583,78,84,0,0,81,0,0,0,0,0,17.7029388421711,23.4367695088735,26.2210637652684,25.7972158588085,10.6856498485263,11.4040493032266,22.7641000089608,17.0178134427204,11.8786747308991,11.6653819031031,17.3893902042587,9.84289898560817,9.9146753048207,21.7735196734586,23.4129983735855,22.6995025746098,11.0185004355731,12.1412224017174,22.7681499216713,21.8395302018074
"AA_0101","M",13.4639,51.8625,2016,"d","d","d","d","d","d","d","d","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",14,0,"2016-09-26",39,0,1,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"dom",NA,19,2,TRUE,NA,NA,NA,95,0.072,0.076,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,3.56303988835771,23.7022672370262,17.8018520527989,23.1846067293222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7901,29.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.541,84,91,0,1,0,0,0,0,0,0,21.2772169558829,21.4564008561651,22.5594507484983,26.5892084640466,19.4443173589381,14.7551306300376,21.340904384538,19.8100997103804,18.5278675414975,9.10269845805631,15.690559707635,7.49647721767685,7.66469811713977,8.52005860169684,26.1185166439446,26.3340927013557,8.51073443826425,10.5950535002935,20.1182639247486,18.0824117723966
"AA_0105","F",13.7336,52.9783,2016,"m",NA,"mm","mm",NA,"dm","dm","mm","100","95","125","120","70/100","80","mm","mm","mm","mm","dm","mm",12,0.869565217,"2016-09-26",27,2,0,NA,NA,NA,0,0,NA,NA,NA,NA,TRUE,NA,NA,NA,0,0,2,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",NA,NA,2,FALSE,NA,NA,NA,NA,NA,NA,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,4.90140403986068,16.9589257089644,NA,20.2662085220894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.274,82,72,2,0,0,0,0,0,0,0,15.8060934293898,20.9311302431206,25.6451629159517,24.1453773424484,9.5795734074378,9.96670407778178,22.3672052178178,23.2108339577707,10.6346292636653,10.8096810322542,16.3732876633078,8.7189192657574,8.70162379288822,20.630580068921,25.6598784144743,26.1403046644122,10.8954095032258,11.4006851021917,23.3890302433357,22.342254299507
"AA_0106","M",13.7336,52.9783,2016,"d","m","m","m",NA,"m","d","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",13,0.894736842,"2016-09-26",36,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,TRUE,NA,NA,NA,0,0,0,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",NA,17,2,TRUE,NA,NA,NA,126,0.05,0.054,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,5.05925380818886,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17247,28.54729681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.14,76,66,0,0,43,0,0,0,0,0,27.3444407400984,25.9989572035805,28.4374517757398,28.36001029548,20.5379237653155,22.1410094799015,25.5253840141831,20.9554533134426,24.0117104345434,10.5743254451482,27.0613949682243,21.0077566559995,21.9258327459164,22.0040918713378,26.4811308145708,22.1621567544939,28.5007899134106,10.5817600351475,27.0882137516341,27.4674677953778
"AA_0112","M",13.895,52.9581,2016,"d","m","m","m",NA,"d","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",13,0.894736842,"2016-09-27",7,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mus",NA,NA,NA,FALSE,NA,NA,NA,2,0.004,0.003,"2016-09-26",NA,NA,NA,NA,NA,NA,NA,2.5,19.1428006404955,13.8913248632523,20.569580016001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.11,46,49,0,0,0,0,0,0,0,0,23.4280752401389,16.917154531205,21.5348004076322,16.3631722163604,13.9795837636721,11.7687985575631,19.6572396984714,15.8224430572358,14.8730703879324,7.3987856412522,24.2697471070624,7.21470488606654,13.575784884843,12.798075370791,24.2291560430135,21.7354709905545,8.18286767666032,9.28441872814121,18.5672770395755,12.7306080833938
"AA_0113","M",13.84,52.2678,2016,"d","m","d","m",NA,"d","d","d","94","100","100","100","70/100","100","dd","dd","dd","dd","dm","dd",13,0.157894737,"2016-09-27",0.03,0,28,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DyM",NA,3,NA,FALSE,NA,NA,NA,NA,0.018,0.017,"2016-09-26",NA,NA,NA,NA,NA,NA,NA,2.5,24.6844492889338,17.442073574844,22.6911352440057,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.768,64,76,0,28,0,0,0,0,0,0,18.8853969119655,19.9682815794014,26.3883108528246,27.9497622131548,20.6880724224481,16.7049693364952,20.0396266456598,15.5331929444854,14.9351536861868,8.0380080563254,21.9959266170343,6.47076781504139,7.30364610202163,7.90374139947932,26.2798329846151,26.0248818561764,9.25695581436216,8.82213352546284,23.9016089578618,22.806206896166
"AA_0115","M",13.7336,52.9783,2016,"m","m","m","m",NA,"d","m","m","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",13,0.947368421,"2016-09-27",17,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,TRUE,NA,NA,NA,0,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"mus",NA,11,NA,FALSE,NA,NA,NA,8,0.049,0.046,"2016-09-25",NA,NA,NA,NA,NA,NA,NA,4.42509528030398,24.9160609313773,NA,24.1783756855677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.31,70,67,9,0,0,0,0,0,0,0,26.0914785451397,21.5738984298947,24.2930333036065,28.5714592641272,8.98426367108403,17.557253524414,22.4917348258358,22.0482160343005,22.5670878095451,9.66149876478614,17.0780438331591,7.80276489959648,7.94803344277329,22.7770328631123,25.6835658860658,23.060944224616,8.51099225585682,10.0282335652976,22.7251645841409,22.1408230220603
"AA_0120","F",13.895,52.9581,2016,"d",NA,"mm","mm",NA,"dd","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",12,0.869565217,"2016-09-27",42,0,117,NA,NA,NA,0,0,NA,NA,NA,NA,TRUE,NA,NA,NA,0,0,117,0,"Alice","April2018",0,0,0,0,0,0,0,0,0,0.1,0,8,"mus",NA,NA,2,TRUE,NA,NA,NA,NA,NA,NA,"2016-09-26",NA,NA,NA,NA,NA,NA,NA,4.04657668947775,24.2843427301312,17.4923866048713,25.973917412342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5761,30.16631861,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.73,84,74,0,117,0,0,26,0,0,0,21.3703884853214,19.9073476764612,25.0166033378295,25.9246053566549,23.211122096895,12.6633765355335,20.484085641933,20.0481712963737,15.0314608825574,9.79649586799296,15.9999229833065,8.00329665841996,8.12366944636273,8.99733656310091,25.3531961420465,23.9230770065073,9.67716330066759,10.5832019364636,22.7928879208119,20.7299712061656
"AA_0121","F",13.895,52.9581,2016,NA,NA,NA,NA,NA,"dd","mm","mm","100","95","125","120","90","80","mm","mm","mm","mm","mm","mm",9,0.888888889,"2016-09-27",43,0,51,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,51,0,"Enas","2017",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,0,"mus",NA,NA,2,FALSE,NA,NA,NA,NA,NA,NA,"2016-09-26",NA,NA,NA,NA,NA,NA,NA,3.72466248404156,25.7424313977837,17.2909425478347,24.5053703059564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3040,31.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.55,94,71,0,51,0,0,0,0,0,0,21.7104158594288,19.8749665690709,22.1633979944522,25.7796520809656,19.4789866090585,17.3905515326802,20.5176117555908,19.3803486883681,16.6505876199046,9.31126324731845,16.769127037537,7.52982248721039,7.76736218513293,8.66396202361793,26.8010058717765,26.1790889124826,8.86534387323109,10.1218777282524,21.8679127617748,20.1095917350185
"AA_0123","F",13.3047,52.9936,2016,"d",NA,"dd","dd","dd","dd","dd","dd","94","100","100","100","100","100","dd","dd","dd","dd","dd","dd",13,0,"2016-09-27",48,0,2,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2,0,"Enas","2017",0,0,0,0,0,0,0,0,0,0.1,0,8,"DyM",NA,NA,2,FALSE,NA,NA,NA,NA,NA,NA,"2016-09-26",NA,NA,NA,NA,NA,NA,NA,4.25195632956761,17.9319025806397,15.0465038184558,24.7579196806407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.351,80,81,0,2,0,0,0,0,0,0,21.3579857767471,21.1374921203068,26.3938506759917,22.8977368806782,17.0246233908432,11.8789396517327,23.2999621484981,19.5995990621779,12.7940969489026,10.1600241097263,15.9042234575326,8.85286530090817,8.85638063136525,9.6653938185511,25.8433837909854,23.6290357268904,9.86843561218855,11.268491017586,20.2070125518245,19.9970268305837
